question,answer
how long is a car?,4 yards
"is the following trait inherited or acquired?
suzie has a scar on her right leg.",acquired
"would you find the word strain on a dictionary page with the following guide words?
shape - spray",no
"what do these two changes have in common?
chicken cooking in an oven
a penny tarnishing",Both are chemical changes.
what is the volume of a small can of tomato sauce?,2 cups
"what is the source of the allusion in the sentence below?
sidney was known among her coworkers for her spartan ways.",Greek history
what information supports the conclusion that debbie inherited this trait?,Debbie's father has brown eyes. He passed this trait down to Debbie.
"adapted from j. r. dos passos, ""the bridge"" and from walt whitman, ""salut au monde!""","I see the tracks of the railroads of the earth;
I see them welding State to State, city to city, through North America;
I see them in Great Britain, I see them in Europe;
I see them in Asia and in Africa."
"based on this information, what is thumper's phenotype for the body size trait?",a dwarf body
"what kind of sentence is this?
what is the likelihood that we will encounter bears and other wildlife in alaska?",interrogative
"is the following statement true or false?
plant cells do not have cytoplasm.",false
what is the mass of a floor lamp?,12 pounds
"does the sentence use a simile or a metaphor?
mrs. campbell is an owl, working at night and sleeping during the day.",metaphor
"based on this information, what is elijah's phenotype for the thomsen disease trait?",not having Thomsen disease
what information supports the conclusion that tiana acquired this trait?,A pilot taught Tiana how to fly a plane.
"would you find the word mermaid on a dictionary page with the following guide words?
marsh - muffle",yes
"does this passage describe the weather or the climate?
leah lives in a town with hot summers and freezing cold winters.",climate
"is the following trait inherited or acquired?
brittany has a scar on her right elbow.",acquired
"based on this information, what is champ's genotype for the coat color gene?",ll
"what kind of sentence is this?
for his report, kurt needs information about zebras.",declarative
how long is a kitchen table?,7 feet
"what do these two changes have in common?
mixing sand and water
cutting your fingernails",Both are only physical changes.
"what is the source of the allusion in the sentence below?
bryan's proclamations earned him a reputation as our neighborhood's own nostradamus.",history
"is the following trait inherited or acquired?
sandra has naturally brown hair.",inherited
"would you find the word mock on a dictionary page with the following guide words?
maintain - measles",no
what is the volume of a water balloon?,18 fluid ounces
"what is the source of the allusion in the sentence below?
yesterday's tennis match was a classic david and goliath story, with ryan playing against his former team captain, ivan.",the Bible
"does this passage describe the weather or the climate?
voss is a city in norway. one winter, the snow there was two meters deep!",weather
"what is the source of the allusion in the sentence below?
nolan persisted despite his friends' attempts to tell him that this was a gordian knot.",ancient legend
what is the mass of a full bag of groceries?,4 kilograms
"would you find the word from on a dictionary page with the following guide words?
fled - fool",no
"what do these two changes have in common?
a piece of pizza rotting in a trashcan
burning a marshmallow over a campfire",Both are chemical changes.
"complete the sentence.
a () egg can grow into a seed.",fertilized
what information supports the conclusion that nolan inherited this trait?,Nolan's parents were born with straight hair. They passed down this trait to Nolan.
"based on this information, what is gruff's phenotype for the fur texture trait?",soft fur
"is the following trait inherited or acquired?
pete plays soccer.",acquired
"the city of newport has been one of the world's biggest makers of cough drops for many years. but last month, newport's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"what kind of sentence is this?
does kira have any hobbies?",interrogative
"would you find the word brook on a dictionary page with the following guide words?
beaver - bless",no
"is the following trait inherited or acquired?
erica has naturally brown hair.",inherited
"what does the idiom in this text suggest?
""speak of the devil!"" reagan declared when elijah strolled into the room.",Reagan had just been speaking about Elijah.
"is the following trait inherited or acquired?
devin plays soccer.",acquired
"look at the word. does it have a closed syllable or an open syllable?
be",open
"is the following trait inherited or acquired?
natalie has a scar on her left knee.",acquired
"what do these two changes have in common?
deep-frying chicken
burning a marshmallow over a campfire",Both are chemical changes.
"is the following trait inherited or acquired?
megan has a scar on her right leg.",acquired
"answer the riddle.
i am made of paper.
i tell a story.
a teacher may read me out loud.
what am i?",a book
"complete the sentence.
baking cookies is a ().",chemical change
"does this passage describe the weather or the climate?
summer is usually the hottest time of the year in des moines, iowa.",climate
"what do these two changes have in common?
a piece of apple turning brown
compost rotting",Both are chemical changes.
is a pair of sunglasses a good or a service?,a good
how long is a long-distance running race?,26 kilometers
"would you find the word suitcase on a dictionary page with the following guide words?
salute - squirrel",no
"would you find the word monkey on a dictionary page with the following guide words?
material - museum",yes
"does the sentence use a simile or a metaphor?
the football soared through the air like a rocket.",simile
"is this a sentence fragment?
derailed by miscommunication and a lack of funding, grayson and erik's new business venture.",yes
"is the following trait inherited or acquired?
kayla can ride a bicycle.",acquired
"read the following excerpt from a student essay. how can the writer best improve his or her sentence fluency?
the western australian pitcher plant is a carnivorous plant native to southwestern australia. the pitcher is a perennial herb. it is approximately eight inches high. growing in swampy or sandy soils, it obtains needed nutrients from insects and other small prey. the pitcher plant has carnivorous leaves. the leaves act as traps, or pitchers. the pitchers produce enzymes for digesting prey. prized among collectors, the plant is considered a vulnerable species.",by combining sentences
"read the following excerpt from a student essay. how can the writer best improve his or her grammar and mechanics?
found in the icy waters of the arctic ocean the narwhal is a species of whale with a long tusk. generally, only males have tusks but occasionally females may develop them. the tusks grow up to nine feet long and weigh more than twenty pounds. researchers aren't exactly sure why narwhals grow these tusks. they might be used to fight other males, to impress females or to help the creatures detect changes in their environment.",by adding missing commas
"read the following excerpt from a student essay. how can the writer best improve his or her sentence fluency?
our school needs to serve better food for lunch. our lunches should be delicious. our lunches should be nutritious. our lunches should be satisfying. one way to achieve this would be to have a salad bar available. salad bars can contain far more than just lettuce. fresh fruits can be included in a salad bar. fresh vegetables can be included. different kinds of meats and cheeses can be included, too. even pasta can be stocked in a salad bar. with these healthy options, students can make their own tasty lunches.",by combining sentences containing related information
"what is the source of the allusion in the sentence below?
much to our shock, stefan chose to turn the other cheek when nicole insulted him in a meeting.",the Bible
"complete the sentence.
making jam is a ().",chemical change
what information supports the conclusion that gavin inherited this trait?,Gavin's biological mother often wears her naturally brown hair in a bun.
"complete the statement. assume that the skydiver's mass did not change.
the gravitational potential energy stored between the skydiver and earth () as she drifted toward the flat ground.",decreased
"what do these two changes have in common?
cutting an apple
ice melting in a glass",Both are only physical changes.
"what is the source of the allusion in the sentence below?
by the time betty had finished explaining to mr. hunt what had happened, her friends were laughingly referring to her as scheherazade.",ancient legend
"would you find the word doubt on a dictionary page with the following guide words?
dessert - during",yes
"is this a run-on sentence?
first completed in 1939, the potomac park levee system was installed to protect the national mall and surrounding areas in washington, d.c., from flooding.",no
"what does the allusion in this text suggest?
with the gutters clogged and water rising in the streets, lillian, who was watching the storm from her window, commented, ""we're going to need an ark to get out of here.""",Lillian thinks the storm will cause major flooding.
"what is the source of the allusion in the sentence below?
a good samaritan jumped in when my grocery bag broke and the contents spilled all over the sidewalk.",the Bible
"complete the sentence so that it uses personification.
maura finally found her phone () under the bed.",hiding
what is the volume of an eyedropper?,3 milliliters
"what is the source of the allusion in the sentence below?
rudy persisted despite his friends' attempts to tell him that this was a gordian knot.",ancient legend
"based on this information, what is dasher's phenotype for the coat color trait?",a red coat
what information supports the conclusion that tracy acquired this trait?,Tracy learned how to make chili from a recipe book.
"complete the sentence.
rust forming on a bicycle frame is a ().",chemical change
"complete the sentence.
dissolving fruit punch mix into water is a ().",physical change
"what kind of sentence is this?
do you know fernando from soccer camp, or do you have another connection with him?",interrogative
"would you find the word hunger on a dictionary page with the following guide words?
harness - holly",no
"is there a sentence fragment?
developed in 1973, gps is a satellite-based navigation system. also known as global positioning system.",yes
"would you find the word ten on a dictionary page with the following guide words?
tired - trestle",no
"what does this works cited entry indicate about the cited work?
jain, nikhil. ""the ten most important young artists of the year."" message to zachary gorski. 11 feb. 2015. e-mail.",It is an email.
"what is the source of the allusion in the sentence below?
emma was known among her coworkers for her spartan ways.",Greek history
what information supports the conclusion that nicholas acquired this trait?,Nicholas's scar was caused by an accident. He cut his leg when he fell off his skateboard.
"what does the idiom in this text suggest?
mia has a lot on her plate: she is attending college, has a full-time job as a waitress, and volunteers at the animal shelter.",Mia has many responsibilities.
how long is an ice skate?,14 inches
"what do these two changes have in common?
breaking a piece of glass
molding clay into the shape of a pot",Both are only physical changes.
how long is a school bus?,15 meters
"would you find the word whiskers on a dictionary page with the following guide words?
waste - write",yes
"what is the source of the allusion in the sentence below?
when i learned the details of vicky's faustian bargain, i was in disbelief.",literature
"what does the hyperbole in this text suggest?
at that time bogotá was a remote, lugubrious city where an insomniac rain had been falling since the beginning of the 16th century.
—gabriel garcia marquez, living to tell the tale, translated by edith grossman",It rained frequently and for long periods of time in Bogotá.
"complete the sentence.
a can of soda fizzing over is a ().",physical change
"what do these two changes have in common?
cooking an egg
baking a loaf of bread",Both are chemical changes.
how long is a school bus?,13 yards
"based on this information, what is this pea plant's genotype for the flower position gene?",ff
"what does the idiom in this text suggest?
""speak of the devil!"" abigail declared when craig strolled into the room.",Abigail had just been speaking about Craig.
"what does the hyperbole in this text suggest?
after he finished the marathon, malik collapsed into a chair and declared that he could no longer move a single muscle.",Malik was very tired and sore.
what information supports the conclusion that cameron acquired this trait?,Cameron's scar was caused by an accident. He cut his arm when he fell off his bicycle.
what information supports the conclusion that janice acquired this trait?,Janice was not born knowing how to identify different bird calls. She had to learn this skill.
what is the volume of a bottle of nail polish?,15 milliliters
"what kind of sentence is this?
i feel like a completely new person now that my fever has broken!",exclamatory
what information supports the conclusion that vicky inherited this trait?,Vicky's parents have red hair. They passed down this trait to Vicky.
is a flute a good or a service?,a good
"what do these two changes have in common?
picking up a paper clip with a magnet
water freezing into ice",Both are only physical changes.
"what do these two changes have in common?
using polish to remove tarnish from a silver spoon
a dinosaur bone turning into rock over millions of years",Both are chemical changes.
"based on this information, what is this tomato plant's genotype for the fruit color gene?",ff
"what do these two changes have in common?
an iceberg melting slowly
cooking a pancake",Both are caused by heating.
what information supports the conclusion that amy acquired this trait?,Amy learned how to play the cello in music class.
"does this passage describe the weather or the climate?
donald noticed that the sky was filled with cumulus clouds every day last week.",weather
what information supports the conclusion that martha acquired this trait?,Martha's scar was caused by an accident. She cut her arm when she fell off her bicycle.
"what kind of sentence is this?
i can't believe this is aisha's first time seeing the pacific ocean!",exclamatory
"what do these two changes have in common?
butter melting on a hot day
grilling a hamburger",Both are caused by heating.
what information supports the conclusion that chandler acquired this trait?,Chandler learned how to knit in an after school program.
"does this passage describe the weather or the climate?
jennifer noticed that the sky was filled with cumulus clouds every day last week.",weather
"is the following trait inherited or acquired?
isaiah has naturally dark skin.",inherited
"what do these two changes have in common?
cracking open a peanut
butter melting on a hot day",Both are only physical changes.
"complete the statement. assume that the sled's mass did not change.
the gravitational potential energy stored between the sled and earth () as erin rode down the hill.",decreased
"does this passage describe the weather or the climate?
where jackson lives, winds blowing from the northeast are rare in july.",climate
"does this passage describe the weather or the climate?
latrell lives in a town with hot summers and freezing cold winters.",climate
what is the mass of a passenger helicopter?,3 tons
what information supports the conclusion that hunter acquired this trait?,Hunter's scar was caused by an accident. He cut his leg when he fell off his skateboard.
"does this passage describe the weather or the climate?
the wind was blowing from the west in ensenada, mexico, last week.",weather
"what kind of sentence is this?
i can't believe this is kendra's first time seeing the pacific ocean!",exclamatory
how long is a pen?,8 inches
"answer the riddle.
you may hear me at school.
you may see me on a bike.
i make a ringing noise.
what am i?",a bell
"what do these two changes have in common?
a copper statue turning green
compost rotting",Both are chemical changes.
"does the sentence use a simile or a metaphor?
from across the room, uncle josh's laughter was booming thunder.",metaphor
"what does the verbal irony in this text suggest?
""that fits you well,"" tony remarked after bonnie's cap fell over her eyes for the tenth time.",The cap was too big.
"complete the statement.
xenon is ().",an elementary substance
choose the poem that uses anaphora.,"It would be easy to forgive,
If I could but remember;
If I could hear, lost love of mine,
The music of your cruelties."
what is the volume of a watering can?,8 liters
"does this passage describe the weather or the climate?
the summers are hot in kissimmee, florida.",climate
"what kind of sentence is this?
when did marie curie win the nobel prize?",interrogative
how long is a walk across central park in new york city?,3 miles
"answer the riddle.
i can fly.
i am yellow and black.
i make honey.
what am i?",a bee
"based on this information, what is remy's phenotype for the fur length trait?",short fur
"what does the idiom in this text suggest?
i walked across an empty land
i knew the pathway like the back of my hand.
—keane, ""somewhere only we know""",The singer has walked the path many times before.
what information supports the conclusion that brenna acquired this trait?,Brenna learned how to make chili from a recipe book.
"what does the metaphor in this text suggest?
conscience is a man's compass.
—vincent van gogh",Your conscience guides you to act the right way.
"does this passage describe the weather or the climate?
the wind usually blows from the west or northwest in san diego, california.",climate
"based on this information, what is tiny's genotype for the eye color gene?",ee
"what is the source of the allusion in the sentence below?
when i learned the details of debbie's faustian bargain, i was in disbelief.",literature
how long is a tennis racket?,70 centimeters
"what do these two changes have in common?
water boiling on a stove
breaking a plate",Both are only physical changes.
"what do these two changes have in common?
melting wax
rain forming in a cloud",Both are only physical changes.
how long is a car key?,3 inches
what is the volume of a kiddie pool?,"1,035 liters"
what is the volume of a washing machine?,40 gallons
"would you find the word eye on a dictionary page with the following guide words?
entire - everyone",no
how long is a seesaw?,3 yards
"what do these two changes have in common?
a penny tarnishing
compost rotting",Both are chemical changes.
"based on this information, what is this fruit fly's phenotype for the eye color trait?",brown eyes
"what kind of sentence is this?
this is the most beautiful scenery i've ever seen!",exclamatory
what information supports the conclusion that aubrey inherited this trait?,Aubrey's parents have dark skin. They passed down this trait to Aubrey.
what information supports the conclusion that madelyn acquired this trait?,A pilot taught Madelyn how to fly a plane.
"would you find the word unusual on a dictionary page with the following guide words?
up - us",no
is a carton of milk a good or a service?,a good
"what does the verbal irony in this text suggest?
according to mr. gruber's kids, his snoring is as quiet as a jackhammer.",The snoring is loud.
"complete the sentence.
a copper statue turning green is a ().",chemical change
"is the following trait inherited or acquired?
max plays golf.",acquired
"complete the sentence.
according to the third amendment, the government cannot force people to keep () in their houses during a time of peace.",soldiers
"complete the sentence.
snowflakes forming in a cloud is a ().",physical change
"what kind of sentence is this?
celery, onions, and carrots are often used in sauces and soups in french cooking.",declarative
"what do these two changes have in common?
getting a haircut
shaking up salad dressing",Both are only physical changes.
"complete the sentence so that it uses personification.
the wild daisies () the passing hikers.",nodded at
"what do these two changes have in common?
chicken cooking in an oven
bleaching hair",Both are chemical changes.
how long is a garden snail?,39 millimeters
what information supports the conclusion that isabelle acquired this trait?,A pilot taught Isabelle how to fly a plane.
"complete the sentence.
a dinosaur bone turning into rock over millions of years is a ().",chemical change
"what does the idiom in this text suggest?
jennifer submitted her suggestions to dave; now the ball is in his court.",Dave needs to act next.
"complete the sentence.
in this chemical reaction, sucrose is a ().",reactant
"what is the temperature of the air on a cold, rainy day?",40°F
"what does the simile in this text suggest?
when lee mellon finished the apple he smacked his lips together like a pair of cymbals.
—richard brautigan, a confederate general from big sur",Lee Mellon made a loud noise with his lips.
"is the following trait inherited or acquired?
jack knows how to type.",acquired
what information supports the conclusion that scott inherited this trait?,Scott's parents have pale skin. They passed down this trait to Scott.
how long does it take for a pot of water to start boiling on a hot stove?,11 minutes
"does the sentence use a simile or a metaphor?
erin went down the slide face-first, like a penguin.",simile
"complete the sentence.
breaking a piece of glass is a ().",physical change
"what is the source of the allusion in the sentence below?
""luca's personality is very jekyll and hyde,"" kari told her brother.",literature
"complete the statement.
sodium chloride is ().",a compound
"what does the verbal irony in this text suggest?
after a jog around the block, eva collapsed on the couch and declared with a wheeze, ""well, i'm ready to run a marathon.""",Eva was out of shape.
"does the sentence use a simile or a metaphor?
from across the room, uncle fernando's laughter was booming thunder.",metaphor
how long is a sunflower seed?,19 millimeters
"based on this information, what is this plant's phenotype for the fruit taste trait?",sour fruit
"answer the riddle.
i am an animal.
i have four legs.
you can ride me.
what am i?",a horse
"would you find the word bit on a dictionary page with the following guide words?
bark - belief",no
"what is the source of the allusion in the sentence below?
lucy was known among her coworkers for her spartan ways.",Greek history
how long is a leather belt?,29 inches
"what does the euphemism in this text suggest?
dwayne is big-boned, so despite being in middle school, he often shops in the men's department.",Dwayne is overweight.
"what does the verbal irony in this text suggest?
while waiting for her search results, barbara exclaimed, ""my internet connection is as speedy as a snail!""",The Internet connection was very slow.
"is the following trait inherited or acquired?
gavin has naturally black hair.",inherited
"complete the sentence so that it uses personification.
""you might think you'll always be young,"" mrs. greer counseled, ""but time ()"".",creeps up on you
what is the united states constitution?,a written plan for the government of the United States
what is the temperature of lukewarm water?,80°F
how long is a bike path?,5 kilometers
"what is the source of the allusion in the sentence below?
red velvet cupcakes were deb's achilles's heel when she was trying to eat more healthily.",Greek mythology
"complete the statement.
methane is ().",a compound
what information supports the conclusion that erin acquired this trait?,Erin learned to identify insects by reading many books about insects.
when was george washington carver born?,the 1860s
"what do these two changes have in common?
your breath becoming visible on a cold day
mixing sand and gravel",Both are only physical changes.
"what does the idiom in this text suggest?
""speak of the devil!"" tessa declared when patrick strolled into the room.",Tessa had just been speaking about Patrick.
"what do these two changes have in common?
bending a paper clip
cutting your fingernails",Both are only physical changes.
what is the volume of a test tube?,18 milliliters
how long is a leather belt?,35 inches
how long is a road from one end of a city to the other?,3 miles
"is this a run-on sentence?
in an effort to deter counterfeiters, the central bank of norway wanted to redesign the nation's currency and sponsored a competition to find a fresh look for the banknotes.",no
"what does the verbal irony in this text suggest?
according to mr. joyce's kids, his snoring is as quiet as a jackhammer.",The snoring is loud.
"what is the source of the allusion in the sentence below?
so, in a nutshell, that's the story of my monthlong trip to iceland.",literature
"based on this information, what is nico's genotype for the body hair gene?",BB
what is the mass of a cement truck?,22 tons
"answer the riddle.
i am big and yellow.
i take children to school.
you may see me in the street.
what am i?",a bus
"is the following trait inherited or acquired?
betty can fly a helicopter.",acquired
where are the main offices of the federal government?,"in Washington, D.C."
what is the volume of a blender?,1 liter
"is the following statement true or false?
animal cells are filled with cytoplasm.",true
"complete the sentence.
after seeing disagreements among americans increase while he was president, washington felt that political parties were () for the united states.",dangerous
"read the following excerpt from a student essay. how can the writer best improve his or her narrative voice?
during our last game, our pitcher hansen suddenly grabbed his wrist after throwing a fastball. coach chu asked him if he was ok, and hansen said that it hurt. none of us knew what was wrong with him and he was whisked off to the doctor, who ultimately diagnosed a forearm strain and wrist tendinitis. after three weeks of rehabilitation, hansen finally returned. coach chu said he was glad hansen was back, and hansen said he was happy and relieved.",by adding dialogue
"based on this information, what is this rainbow trout's genotype for the body color gene?",bb
"what does the allusion in this text suggest?
when brianna claimed she had loaded the dishwasher before turning on dancing with the stars, her mother replied, ""your nose is growing!""",Brianna was lying.
what is the volume of a bathroom sink?,11 liters
"complete the statement. assume that the robin's mass did not change.
the gravitational potential energy stored between the robin and earth () as the robin flew to the tree branch.",increased
"would you find the word bright on a dictionary page with the following guide words?
beat - blessing",no
"what do these two changes have in common?
cellular respiration
compost rotting",Both are chemical changes.
"would you find the word volley on a dictionary page with the following guide words?
vain - violet",no
what information supports the conclusion that reba inherited this trait?,Reba's parents have red hair. They passed down this trait to Reba.
"based on this information, what is this pea plant's genotype for the pea color gene?",Ee
what is the volume of a soda bottle cap?,11 milliliters
"what do these two changes have in common?
crushing a mineral into powder
dry ice sublimating and becoming a gas",Both are only physical changes.
what information supports the conclusion that diane acquired this trait?,Diane learned how to make chili from a recipe book.
choose the poem that uses anaphora.,"She stands there like a beacon through the night,
A pale clear beacon where the storm-drift is—
She stands alone, a wonder deathly-white.
She stands there patient nerved with inner might."
what information supports the conclusion that betty acquired this trait?,Betty learned to identify insects by reading many books about insects.
what information supports the conclusion that william acquired this trait?,William's friend taught him how to fly a kite.
"complete the sentence.
beating an egg is a ().",physical change
what information supports the conclusion that angie inherited this trait?,Both of Angie's biological parents have naturally black hair.
what does the tenth amendment say about government powers that are not listed in the constitution?,"If the Constitution does not give a power to the United States government, the power belongs to the state governments or the people."
"complete the sentence.
cutting an orange is a ().",physical change
"does this passage describe the weather or the climate?
megan put on an extra pair of socks this morning because it was so cold.",weather
"what does the euphemism in this text suggest?
perhaps we have been guilty of some terminological inexactitudes.
—attributed to winston churchill",They used false or misleading language.
how long is a hammer?,23 centimeters
what is the volume of a mustard bottle?,10 fluid ounces
"what does the verbal irony in this text suggest?
after a jog around the block, liz collapsed on the couch and declared with a wheeze, ""well, i'm ready to run a marathon.""",Liz was out of shape.
what is the volume of a bathtub?,315 liters
what information supports the conclusion that maggie inherited this trait?,Maggie's parents have dark skin. They passed down this trait to Maggie.
"would you find the word cement on a dictionary page with the following guide words?
chain - corps",no
"what do these two changes have in common?
shaking up salad dressing
using a large magnet to remove pieces of iron from a junkyard",Both are only physical changes.
"would you find the word company on a dictionary page with the following guide words?
cross - cutting",no
"what do these two changes have in common?
shaking up salad dressing
beating an egg",Both are only physical changes.
"does this passage describe the weather or the climate?
it was windy last night at the northern kentucky airport. the wind was blowing in from the southeast.",weather
"what is the source of the allusion in the sentence below?
devon had her fifteen minutes when her video of kayaking with dolphins went viral.",modern history
"what do these two changes have in common?
burning a marshmallow over a campfire
rust forming on a bicycle frame",Both are chemical changes.
"what is the temperature of the air on a cold, snowy day?",24°F
"does the sentence use a simile or a metaphor?
jasper swam with ease across the swimming pool, like a dolphin.",simile
"would you find the word serious on a dictionary page with the following guide words?
slack - split",no
"what does the allusion in this text suggest?
alan seems to have the midas touch. without any special experience or training, he launched a thriving business and then established a well-respected charity.",Alan is successful at all that he does.
"look at the word. does it have a closed syllable or an open syllable?
drip",closed
"based on this information, what is this tomato plant's phenotype for the leaf type trait?",potato leaves
"would you find the word fault on a dictionary page with the following guide words?
fifteen - flashlight",no
"complete the sentence.
soaking cucumbers in vinegar to make pickles is a ().",chemical change
"last year, 50,000 people lived in the city of burlington. but since then, 8,000 people have moved away. what probably happened to the overall supply of houses for sale in burlington?",The supply probably went up.
"complete the statement. assume that pedro's mass did not change.
the gravitational potential energy stored between pedro and earth () as he hiked toward the summit.",increased
"what does this works cited entry indicate about the cited work?
taylor, david a. ""homestay among the ruins in cambodia."" the washington post 23 apr. 2015: n. pag. web. 23 apr. 2015.",It doesn't have page numbers.
"based on this information, what is kevin's phenotype for the marfan syndrome trait?",not having Marfan syndrome
what information supports the conclusion that bill acquired this trait?,Bill learned to identify insects by reading many books about insects.
what is the mass of a vacuum cleaner?,8 kilograms
choose the poem that uses alliteration.,"The human heart has hidden treasures,
In secret kept, in silence sealed;
The thoughts, the hopes, the dreams, the pleasures,
Whose charms were broken if revealed."
"what does this works cited entry indicate about the cited work?
ulin, david l. ""the magic is missing in toni morrison's 'god help the child.'"" rev. of god help the child, by toni morrison. los angeles times 23 apr. 2015: n. pag. web. 30 apr. 2015.",It is a review.
"what kind of sentence is this?
don't overlook jayla when choosing the new principal.",imperative
"what do these two changes have in common?
a puddle freezing into ice on a cold night
sewing an apron",Both are only physical changes.
"would you find the word never on a dictionary page with the following guide words?
navy - not",yes
how long is a diving board?,10 feet
"is the following trait inherited or acquired?
isaiah knows how to type.",acquired
"would you find the word screen on a dictionary page with the following guide words?
sincere - strode",no
"based on this information, what is asgore's phenotype for the coat color trait?",a black coat
"would you find the word guilty on a dictionary page with the following guide words?
genuine - grow",no
"is the following trait inherited or acquired?
jamal has a scar on his right knee.",acquired
how long does it take to peel a banana?,11 seconds
"does the sentence use a simile or a metaphor?
the colorful, blooming flowers of spring are nature's grandest artwork.",metaphor
what is the temperature of a cool glass of milk?,45°F
"complete the sentence.
breaking a stick in half is a ().",physical change
what information supports the conclusion that sidney inherited this trait?,Sidney's biological mother often wears her straight hair in a ponytail.
what information supports the conclusion that perry inherited this trait?,Perry's biological mother often wears her naturally brown hair in a bun.
"does this passage describe the weather or the climate?
it was 24°c downtown this afternoon.",weather
how long is a road from one end of a city to the other?,7 kilometers
"what is the source of the allusion in the sentence below?
despite dana's insistence that she would raise cain if we ever got lost, we decided to try taking a shortcut.",the Bible
"complete the sentence.
in this chemical reaction, zinc oxide is a ().",product
"what does the verbal irony in this text suggest?
""sleeping through the rooster's crowing was no problem,"" devin joked with a yawn.",Devin slept poorly.
what information supports the conclusion that roy acquired this trait?,Roy learned how to knit in an after school program.
"based on this information, what is hobbes's genotype for the fur type gene?",FF
what information supports the conclusion that carson inherited this trait?,Carson's biological parents have wavy hair.
what information supports the conclusion that mark acquired this trait?,Mark's sister taught him how to do tricks with a jump rope.
"what do these two changes have in common?
an iceberg melting slowly
breaking a plate",Both are only physical changes.
"read the following excerpt from a student essay. how can the writer best improve his or her grammar and mechanics?
people around the world have always encountered frogs and toads in various bodies of water. unfortunately, pollution and disease is killing many of the world's frogs. for example, a fungus may be responsible for the extinction of several species in australia and has been found in forty-four species there. other fungi and viruses have eliminated frogs in the united states as well. the effect of pollutants are also severe. substances like fertilizers and heavy metals are responsible for the deaths of many frogs in europe and canada.",by fixing subject-verb agreement errors
what is the volume of a blender?,50 fluid ounces
"the city of springfield has been one of the world's biggest makers of cough drops for many years. but last month, springfield's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
"what kind of sentence is this?
jen gave me flowers for no reason.",declarative
"what kind of sentence is this?
wow, that was a loud sneeze!",exclamatory
how long is a sunflower seed?,10 millimeters
what is the mass of a can of soup?,10 ounces
how long is a kitchen table?,6 feet
"based on this information, what is boxer's genotype for the coat color gene?",Ll
"what does the allusion in this text suggest?
with the gutters clogged and water rising in the streets, jane, who was watching the storm from her window, commented, ""we're going to need an ark to get out of here.""",Jane thinks the storm will cause major flooding.
next winter is expected to be colder and snowier than usual. producers expect the demand for ski boots to be high. what will probably happen to the overall supply of ski boots?,The supply will probably go up.
"based on this information, what is this pea plant's phenotype for the stem height trait?",a short stem
"based on this information, what is raiden's phenotype for the coat pattern trait?",a black coat
"complete the sentence.
the eighth amendment places limits on how the government can () people.",punish
"is the following statement true or false?
plant cells are filled with cytoplasm.",true
"based on this information, what is sushi's phenotype for the body color trait?",a golden body
what information supports the conclusion that alan inherited this trait?,Alan's biological father has curly hair.
"what kind of sentence is this?
emma felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",declarative
"is the following trait inherited or acquired?
emma plays basketball.",acquired
"does this passage describe the weather or the climate?
there are usually more days with low air pressure than high air pressure where diane lives.",climate
"is the following trait inherited or acquired?
jake has naturally curly hair.",inherited
"would you find the word travel on a dictionary page with the following guide words?
together - tug",yes
"answer the riddle.
i am wet.
you can drink me.
you will find me in a lake.
what am i?",water
"what is the source of the allusion in the sentence below?
erica told her friends that philip was a typical peter pan type.",literature
"what does the metaphor in this text suggest?
jennifer felt a roller coaster of emotions when she heard the news.",Jennifer had varied feelings.
"what is the source of the allusion in the sentence below?
walter dropped out of college to travel the world, but a year later, the prodigal son returned home and re-enrolled.",the Bible
"based on this information, what is this plant's phenotype for the ground spot color trait?",a white ground spot
how long is a hiking trail?,1 mile
"the city of norwood has been one of the world's biggest makers of cough drops for many years. but last month, norwood's cough drop factories were destroyed by floods. what will probably happen to the overall supply of cough drops?",The supply will probably go down.
how long does it take to mow the lawn?,43 minutes
what is the volume of a bathroom sink?,9 liters
"based on this information, what is this fruit fly's genotype for the wing type gene?",Nn
how long is a bus route across a small town?,2 miles
what is the volume of a car's gas tank?,37 liters
"what is the temperature of the air on a cold, rainy day?",44°F
"what is the source of the allusion in the sentence below?
austin said he would put in a good word for tiana with their boss, but she knew he had a reputation as a benedict arnold.",U.S. history
"what does the personification in this text suggest?
kenny tried to ignore his unfinished essay, but it glared at him from across the room.",It bothered Kenny that the essay wasn't finished.
"complete the sentence so that it uses personification.
the car engine () as mr. harvey tried to start it in the freezing cold.",coughed
"is the following trait inherited or acquired?
liam can ride a bicycle.",acquired
"is the following trait inherited or acquired?
sue can ride a bicycle.",acquired
"is this a sentence fragment?
using instruments called geophones, scientists measuring seismic waves caused by traffic to learn how urban life affects the earth.",yes
"complete the sentence.
liquid tree resin hardening into amber is a ().",chemical change
"read the following excerpt from a student essay. how can the writer best improve his or her ideas and development?
asthma is a lung condition that makes it difficult to breathe. when people have asthma, their breathing passages can become inflamed, swelling up and filling with mucus. emphysema is another lung disease that makes people short of breath. in people with asthma, inflamed airways become sensitive to smoke and dust, and as a result, the muscles of the airway can tighten up. all of these things make the passages narrow, so it's hard for air to move through. as a result, people with asthma sometimes have a hard time breathing.",by removing information unrelated to the main idea
"would you find the word direction on a dictionary page with the following guide words?
dangle - drift",yes
